date_hour,Open,High,Low,Close,Close_Rt
2021-09-27,3059.36000000,3164.94000000,2922.71000000,2925.59000000,-4.47128426697441
2021-09-28,2924.76000000,2970.82000000,2789.00000000,2804.91000000,-4.212471684651355
2021-09-29,2805.15000000,2950.00000000,2782.00000000,2850.45000000,1.6105423654929623
2021-09-30,2850.45000000,3048.42000000,2837.19000000,3000.61000000,5.133872477868343
2021-10-01,3000.62000000,3330.00000000,2969.07000000,3309.91000000,9.810539735495885
2021-10-02,3309.91000000,3469.00000000,3257.00000000,3387.76000000,2.3247937341022604
2021-10-03,3387.77000000,3488.00000000,3342.51000000,3417.73000000,0.8807651981751716
2021-10-04,3417.73000000,3437.19000000,3270.00000000,3386.31000000,-0.9235755034169479
2021-10-05,3386.31000000,3545.00000000,3363.78000000,3515.27000000,3.737550299278515
2021-10-06,3515.48000000,3632.11000000,3342.00000000,3574.89000000,1.6818070473447688
2021-10-07,3574.88000000,3653.98000000,3470.80000000,3587.47000000,0.3512812239617455
2021-10-08,3587.47000000,3695.00000000,3532.00000000,3563.13000000,-0.6807846616126461
2021-10-09,3563.13000000,3635.00000000,3538.07000000,3574.82000000,0.32754531627249256
2021-10-10,3574.83000000,3604.00000000,3405.00000000,3414.22000000,-4.596576239303149
2021-10-11,3414.22000000,3623.80000000,3371.00000000,3542.12000000,3.677635511606598
2021-10-12,3542.12000000,3547.11000000,3403.21000000,3491.46000000,-1.4405431106841837
2021-10-13,3491.43000000,3613.00000000,3412.70000000,3607.42000000,3.267284855359334
2021-10-14,3607.41000000,3824.00000000,3586.04000000,3790.82000000,4.958951913336564
2021-10-15,3790.82000000,3907.77000000,3734.10000000,3868.99000000,2.0411136536652923
2021-10-16,3868.38000000,3971.00000000,3803.56000000,3829.96000000,-1.0139131794052638
2021-10-17,3829.96000000,3919.19000000,3640.00000000,3846.85000000,0.4400272314298231
2021-10-18,3847.00000000,3893.14000000,3676.00000000,3744.96000000,-2.6843695583821217
2021-10-19,3744.96000000,3886.89000000,3732.00000000,3877.03000000,3.4658460596297584
2021-10-20,3876.98000000,4169.00000000,3828.05000000,4161.15000000,7.0722081777167904
2021-10-21,4161.37000000,4375.00000000,4013.13000000,4052.99000000,-2.633659804276901
2021-10-22,4053.00000000,4167.41000000,3888.00000000,3972.20000000,-2.013478295240682
2021-10-23,3972.19000000,4172.00000000,3937.51000000,4167.12000000,4.790505233930084
2021-10-24,4167.13000000,4186.57000000,3961.50000000,4082.33000000,-2.0557245877644017
2021-10-25,4082.33000000,4236.00000000,4067.71000000,4220.37000000,3.3254898085360822
2021-10-26,4220.36000000,4297.00000000,4090.21000000,4131.52000000,-2.1277423925354975
2021-10-27,4131.52000000,4307.00000000,3909.00000000,3922.00000000,-5.204365023006235
2021-10-28,3921.99000000,4295.00000000,3890.17000000,4286.02000000,8.87568356219197
2021-10-29,4286.01000000,4460.47000000,4265.97000000,4418.89000000,3.052996993308751
2021-10-30,4418.89000000,4434.06000000,4232.20000000,4322.68000000,-2.2012953052922493
2021-10-31,4322.68000000,4399.14000000,4164.35000000,4287.21000000,-0.8239408555731416
2021-11-01,4287.48000000,4386.58000000,4146.30000000,4319.43000000,0.7487277385632659
2021-11-02,4319.43000000,4599.60000000,4284.43000000,4589.89000000,6.0732609537532465
2021-11-03,4589.68000000,4665.87000000,4455.00000000,4603.35000000,0.292824066767199
2021-11-04,4603.35000000,4606.65000000,4420.08000000,4532.32000000,-1.5550349635635599
2021-11-05,4532.31000000,4570.05000000,4438.80000000,4474.24000000,-1.2897444774280789
2021-11-06,4474.24000000,4530.00000000,4326.17000000,4518.00000000,0.9732913144382904
2021-11-07,4518.00000000,4637.98000000,4502.37000000,4612.59000000,2.07201033255957
2021-11-08,4612.59000000,4822.97000000,4612.00000000,4807.98000000,4.1487516119070404
2021-11-09,4807.98000000,4838.28000000,4713.89000000,4732.33000000,-1.5859355851561987
2021-11-10,4732.33000000,4868.00000000,4461.93000000,4628.78000000,-2.212434718279934
2021-11-11,4628.68000000,4779.00000000,4576.47000000,4719.00000000,1.930357828813424
2021-11-12,4719.00000000,4809.71000000,4507.85000000,4665.46000000,-1.141047666102849
2021-11-13,4665.47000000,4707.60000000,4584.08000000,4644.28000000,-0.4550081214127238
2021-11-14,4644.27000000,4696.05000000,4514.12000000,4626.50000000,-0.38357121621467527
2021-11-15,4626.50000000,4772.01000000,4540.00000000,4563.78000000,-1.3649415199348565
2021-11-16,4563.77000000,4563.77000000,4103.00000000,4209.76000000,-8.074558856416793
2021-11-17,4209.59000000,4299.91000000,4063.48000000,4287.80000000,1.8368141946262657
2021-11-18,4288.07000000,4344.81000000,3956.44000000,3996.90000000,-7.025472023755505
2021-11-19,3996.90000000,4308.97000000,3973.01000000,4294.76000000,7.1876614293807135
2021-11-20,4294.75000000,4435.88000000,4199.86000000,4412.17000000,2.6970956981331096
2021-11-21,4412.17000000,4451.00000000,4242.41000000,4258.31000000,-3.54942639726857
2021-11-22,4259.70000000,4320.00000000,4022.74000000,4085.97000000,-4.131321373002092
2021-11-23,4086.28000000,4385.59000000,4059.62000000,4339.44000000,6.018615330430026
2021-11-24,4339.45000000,4373.94000000,4167.65000000,4269.36000000,-1.6281374425884005
2021-11-25,4270.10000000,4550.00000000,4248.27000000,4524.85000000,5.812049432818608
2021-11-26,4524.48000000,4551.00000000,3913.00000000,4041.20000000,-11.30427498597328
2021-11-27,4041.20000000,4183.66000000,4028.34000000,4095.29000000,1.3295855296929509
2021-11-28,4095.29000000,4298.51000000,3964.00000000,4294.78000000,4.756279890436802
2021-11-29,4294.77000000,4458.92000000,4276.89000000,4444.53000000,3.427379481970036
2021-11-30,4444.54000000,4753.00000000,4346.36000000,4630.26000000,4.093889543660272
2021-12-01,4630.25000000,4778.75000000,4523.99000000,4582.95000000,-1.0270126445922145
2021-12-02,4582.95000000,4634.83000000,4433.00000000,4511.21000000,-1.5777485369650517
2021-12-03,4511.35000000,4654.88000000,4032.50000000,4215.73000000,-6.774264277089759
2021-12-04,4215.01000000,4238.59000000,3503.68000000,4117.25000000,-2.3637302670389606
2021-12-05,4117.25000000,4248.19000000,4031.39000000,4196.44000000,1.905108203737565
2021-12-06,4196.44000000,4376.15000000,3921.00000000,4347.59000000,3.538512177508683
2021-12-07,4347.57000000,4425.00000000,4255.92000000,4306.40000000,-0.9519380320032963
2021-12-08,4306.40000000,4450.49000000,4222.95000000,4436.91000000,2.985589995078007
2021-12-09,4436.91000000,4488.00000000,4076.16000000,4105.64000000,-7.759655003333575
2021-12-10,4105.64000000,4231.08000000,3887.37000000,3897.94000000,-5.191342972413053
2021-12-11,3898.31000000,4097.08000000,3828.22000000,4089.37000000,4.794271550246688
2021-12-12,4089.68000000,4173.63000000,3986.25000000,4130.00000000,0.9886483012550139
2021-12-13,4130.00000000,4142.75000000,3671.45000000,3781.93000000,-8.804294563350627
2021-12-14,3781.92000000,3882.74000000,3685.00000000,3858.99000000,2.0171029867780974
2021-12-15,3858.99000000,4092.22000000,3643.73000000,4019.08000000,4.0647529510853815
2021-12-16,4019.54000000,4113.43000000,3942.11000000,3958.11000000,-1.528638210983373
2021-12-17,3959.11000000,3994.10000000,3700.00000000,3875.42000000,-2.1112594579608643
2021-12-18,3875.43000000,3996.93000000,3767.01000000,3959.93000000,2.1572304313848916
2021-12-19,3959.93000000,4032.43000000,3884.00000000,3924.14000000,-0.9079129396085641
