"","TCI"
"2021-03-21",47.3771804652164
"2021-03-22",47.5864131980627
"2021-03-23",47.6210340375951
"2021-03-24",47.4946486621603
"2021-03-25",47.1747164998503
"2021-03-26",50.6293477636785
"2021-03-27",50.6557744799562
"2021-03-28",50.9024245263224
"2021-03-29",51.5968971319786
"2021-03-30",51.1075087344192
"2021-03-31",51.2317217384378
"2021-04-01",51.1435132799434
"2021-04-02",50.9249321079729
"2021-04-03",51.6438553806573
"2021-04-04",51.8126582032859
"2021-04-05",51.9593619605822
"2021-04-06",51.7918891473385
"2021-04-07",54.8290895377874
"2021-04-08",56.7516087485914
"2021-04-09",56.5736011471403
"2021-04-10",55.0632975886779
"2021-04-11",54.3255457629645
"2021-04-12",53.88740704669
"2021-04-13",52.7641807086803
"2021-04-14",52.374357412736
"2021-04-15",51.9132427604905
"2021-04-16",51.1054511893098
"2021-04-17",51.9673947078249
"2021-04-18",51.1046781651725
"2021-04-19",50.5514750471834
"2021-04-20",52.7030631710617
"2021-04-21",51.3314511885841
"2021-04-22",52.0828977518341
"2021-04-23",51.7577299157896
"2021-04-24",52.194258317661
"2021-04-25",52.0142497841479
"2021-04-26",61.5161443246842
"2021-04-27",60.4431029896521
"2021-04-28",60.4676485331625
"2021-04-29",59.7532071061353
"2021-04-30",58.8586803946274
"2021-05-01",58.5179206518466
"2021-05-02",57.8879855770898
"2021-05-03",57.3559506837716
"2021-05-04",57.8190747377887
"2021-05-05",58.2691448020786
"2021-05-06",57.8565351355593
"2021-05-07",57.5976000739231
"2021-05-08",56.6373897512907
"2021-05-09",55.3178254658149
"2021-05-10",60.199584240001
"2021-05-11",61.1570181073651
"2021-05-12",62.7634005794681
"2021-05-13",62.0312580179546
"2021-05-14",62.59913583537
"2021-05-15",63.0562598678632
"2021-05-16",62.882873532527
"2021-05-17",62.8052803999262
"2021-05-18",62.6728684269675
"2021-05-19",69.7128894486277
"2021-05-20",71.2399101916174
"2021-05-21",71.2380815240099
"2021-05-22",71.5080461241258
"2021-05-23",71.3472171131855
"2021-05-24",79.9308938453464
"2021-05-25",79.8502618351614
"2021-05-26",79.6868062357971
"2021-05-27",79.6076810399051
"2021-05-28",79.4341100263931
"2021-05-29",79.4052482784757
"2021-05-30",79.3848097254236
"2021-05-31",78.1112099262888
"2021-06-01",77.8477503488442
"2021-06-02",77.7610406146458
"2021-06-03",77.4348703986464
"2021-06-04",77.4749624174543
"2021-06-05",77.4174300432555
"2021-06-06",77.4442319247165
"2021-06-07",77.5799518399761
"2021-06-08",77.5458418294464
"2021-06-09",77.2926611278285
"2021-06-10",77.3599204771371
"2021-06-11",77.3516399145942
"2021-06-12",77.0820574698578
"2021-06-13",77.0547928954378
"2021-06-14",76.7744010467296
"2021-06-15",76.7028010503498
"2021-06-16",76.6846233755436
"2021-06-17",76.6971355430052
"2021-06-18",76.6841480910107
"2021-06-19",76.6423226088605
"2021-06-20",76.668343061601
"2021-06-21",79.1511466459048
"2021-06-22",78.9667055917794
"2021-06-23",79.0535031107871
"2021-06-24",79.0146933346231
"2021-06-25",79.2327475846887
"2021-06-26",79.1677496238102
"2021-06-27",79.0637936662712
"2021-06-28",78.1467034132697
"2021-06-29",78.121315617945
"2021-06-30",78.0680292983205
"2021-07-01",77.9758356437842
"2021-07-02",77.978257579195
"2021-07-03",77.9495522175877
"2021-07-04",77.9511894443411
"2021-07-05",77.9769743308976
"2021-07-06",77.944594860272
"2021-07-07",77.934429437556
"2021-07-08",77.8526363537869
"2021-07-09",77.8780411770313
"2021-07-10",77.861583145619
"2021-07-11",77.8553670032626
"2021-07-12",77.8964059872052
"2021-07-13",77.8950566141859
"2021-07-14",77.8278590026226
"2021-07-15",77.7857311537379
"2021-07-16",77.7578354070469
"2021-07-17",77.6723797954107
"2021-07-18",77.6055949418983
"2021-07-19",78.2088669061309
"2021-07-20",78.1854913380889
"2021-07-21",78.1362841557767
"2021-07-22",78.0163916105238
"2021-07-23",78.0154300687139
"2021-07-24",78.0004583287318
"2021-07-25",77.9875641903701
"2021-07-26",77.9065083624467
"2021-07-27",77.8618329429226
"2021-07-28",77.4902160694111
"2021-07-29",77.3142935551948
"2021-07-30",77.0573706212106
"2021-07-31",76.9413860470041
"2021-08-01",76.87771802442
"2021-08-02",76.293804470642
"2021-08-03",76.0371480631511
"2021-08-04",75.8218340931089
"2021-08-05",75.7355257024236
"2021-08-06",75.650788930831
"2021-08-07",75.3241782972985
"2021-08-08",75.6489023221236
"2021-08-09",74.1752073491953
"2021-08-10",73.3025527989852
"2021-08-11",72.3532370473819
"2021-08-12",72.2350586277495
"2021-08-13",72.3776485596496
"2021-08-14",71.6240531440679
"2021-08-15",70.8886721432398
"2021-08-16",70.0154844240824
"2021-08-17",70.2488266700339
"2021-08-18",70.0579921204868
"2021-08-19",70.7023369506338
"2021-08-20",70.1685170781505
"2021-08-21",70.5447634170517
"2021-08-22",70.166366255834
"2021-08-23",69.8583783747741
"2021-08-24",70.5243651325882
"2021-08-25",70.6301522854975
"2021-08-26",70.7793786866763
"2021-08-27",71.3474618055451
"2021-08-28",71.2976067309244
"2021-08-29",71.3332050093839
"2021-08-30",71.1271954834444
"2021-08-31",71.2627816925429
"2021-09-01",71.4117868081341
"2021-09-02",71.1928817957501
"2021-09-03",70.5141768810576
"2021-09-04",68.8258018462529
"2021-09-05",68.177346295727
"2021-09-06",69.5292787996051
"2021-09-07",72.0872929515149
"2021-09-08",72.2537564372569
"2021-09-09",72.6845000753946
"2021-09-10",72.8162601494368
"2021-09-11",72.7495321702554
"2021-09-12",72.5303802683608
"2021-09-13",72.7339376034588
"2021-09-14",72.763710659894
"2021-09-15",72.8476286031239
"2021-09-16",73.0511155004814
"2021-09-17",72.9735423763939
"2021-09-18",72.8151712187591
"2021-09-19",72.8020235071112
"2021-09-20",75.2760876476696
"2021-09-21",75.2439227540075
"2021-09-22",76.5001976709549
"2021-09-23",76.4277350544536
"2021-09-24",77.0823710374948
"2021-09-25",77.0743697546105
"2021-09-26",76.8788759971423
"2021-09-27",76.1003136248725
"2021-09-28",76.0529820476314
"2021-09-29",76.1149545243624
"2021-09-30",76.0416912279173
"2021-10-01",76.0322712705869
"2021-10-02",76.0217175233914
"2021-10-03",76.011187011101
"2021-10-04",75.4586215702703
"2021-10-05",75.4156171871846
"2021-10-06",75.2139962448617
"2021-10-07",74.7786191807444
"2021-10-08",74.5280418030591
"2021-10-09",74.2921362021461
"2021-10-10",74.2691024211487
"2021-10-11",73.5650680847055
"2021-10-12",73.0294193682764
"2021-10-13",73.0961281477673
"2021-10-14",72.8285224045118
"2021-10-15",71.7587445009224
"2021-10-16",71.7194791779658
"2021-10-17",71.4637148056118
"2021-10-18",71.3667626722177
"2021-10-19",71.1558239574986
"2021-10-20",71.0161217623177
"2021-10-21",71.4054797217848
"2021-10-22",71.1620504078505
"2021-10-23",71.3223660407639
"2021-10-24",70.7179351511239
"2021-10-25",70.4365112514397
"2021-10-26",70.0438485575587
"2021-10-27",69.9932496726576
"2021-10-28",71.8228093904118
"2021-10-29",70.5123125678438
"2021-10-30",71.4409406227337
"2021-10-31",71.0900920098772
"2021-11-01",70.7707868614774
"2021-11-02",70.5122205421912
"2021-11-03",70.0777919110335
"2021-11-04",70.1743631749547
"2021-11-05",69.6278755745583
"2021-11-06",69.6608183298455
"2021-11-07",69.1755961300562
"2021-11-08",68.7576041246463
"2021-11-09",67.8893111899905
"2021-11-10",67.5980856656412
"2021-11-11",67.2563181949834
"2021-11-12",67.0866884388531
"2021-11-13",66.9765752178112
"2021-11-14",66.8311548698913
"2021-11-15",67.1896021257763
"2021-11-16",68.6552036306917
"2021-11-17",69.2892509267672
"2021-11-18",69.4500645985073
"2021-11-19",70.9908907644405
"2021-11-20",71.1565564176404
"2021-11-21",72.0067885145782
"2021-11-22",71.9082952833999
"2021-11-23",72.3465255408006
"2021-11-24",72.4133993819088
"2021-11-25",72.4701715303235
"2021-11-26",73.4891551769084
"2021-11-27",73.4739360046202
"2021-11-28",73.7650702141441
"2021-11-29",73.690919690405
"2021-11-30",73.529874278736
"2021-12-01",73.1898538490535
"2021-12-02",72.0289767301362
"2021-12-03",71.8531449619388
"2021-12-04",71.5101009324046
"2021-12-05",71.5880812646636
"2021-12-06",73.1462263418746
"2021-12-07",73.0704335658511
"2021-12-08",72.854497755852
"2021-12-09",73.1081525813986
"2021-12-10",72.2268844242703
"2021-12-11",72.8244079580467
"2021-12-12",72.710629011022
"2021-12-13",74.6096414563033
"2021-12-14",74.8542189236568
"2021-12-15",73.9698616258154
"2021-12-16",74.1257889498444
"2021-12-17",74.048006050721
"2021-12-18",74.2158109437816
"2021-12-19",74.1761610330555
"2021-12-20",73.8880049104364
"2021-12-21",73.82141754744
"2021-12-22",73.5545450649943
